#    L    TT             EE             TE             PP             TP          
   223   0.572859E+04   0.938465E+00   0.188361E+02   0.251364E+07   0.207349E+04
   224   0.572680E+04   0.967058E+00   0.204795E+02   0.250173E+07   0.205618E+04
   225   0.572433E+04   0.997396E+00   0.221335E+02   0.248991E+07   0.203900E+04
   226   0.572125E+04   0.102948E+01   0.237942E+02   0.247818E+07   0.202195E+04
   227   0.571748E+04   0.106331E+01   0.254632E+02   0.246654E+07   0.200503E+04
   228   0.571317E+04   0.109888E+01   0.271390E+02   0.245498E+07   0.198824E+04
   229   0.570826E+04   0.113627E+01   0.288200E+02   0.244351E+07   0.197158E+04
   230   0.570265E+04   0.117549E+01   0.305069E+02   0.243212E+07   0.195504E+04
   231   0.569637E+04   0.121660E+01   0.321991E+02   0.242082E+07   0.193864E+04
   232   0.568954E+04   0.125954E+01   0.338949E+02   0.240960E+07   0.192236E+04
   233   0.568210E+04   0.130452E+01   0.355929E+02   0.239846E+07   0.190621E+04
   234   0.567390E+04   0.135140E+01   0.372938E+02   0.238740E+07   0.189019E+04
   235   0.566517E+04   0.140025E+01   0.389962E+02   0.237643E+07   0.187428E+04
   236   0.565574E+04   0.145108E+01   0.406999E+02   0.236553E+07   0.185851E+04
   237   0.564571E+04   0.150396E+01   0.424035E+02   0.235471E+07   0.184286E+04
   238   0.563506E+04   0.155896E+01   0.441070E+02   0.234397E+07   0.182733E+04
   239   0.562387E+04   0.161593E+01   0.458095E+02   0.233331E+07   0.181192E+04
   240   0.561192E+04   0.167496E+01   0.475090E+02   0.232272E+07   0.179664E+04
   241   0.559951E+04   0.173619E+01   0.492059E+02   0.231221E+07   0.178147E+04
   242   0.558648E+04   0.179947E+01   0.508997E+02   0.230177E+07   0.176643E+04
   243   0.557284E+04   0.186495E+01   0.525888E+02   0.229140E+07   0.175151E+04
   244   0.555859E+04   0.193255E+01   0.542739E+02   0.228111E+07   0.173670E+04
   245   0.554372E+04   0.200236E+01   0.559521E+02   0.227089E+07   0.172202E+04
   246   0.552831E+04   0.207438E+01   0.576247E+02   0.226074E+07   0.170745E+04
   247   0.551236E+04   0.214852E+01   0.592896E+02   0.225066E+07   0.169300E+04
   248   0.549580E+04   0.222516E+01   0.609468E+02   0.224065E+07   0.167866E+04
   249   0.547878E+04   0.230379E+01   0.625954E+02   0.223071E+07   0.166444E+04
   250   0.546113E+04   0.238484E+01   0.642340E+02   0.222084E+07   0.165034E+04
   251   0.544303E+04   0.246803E+01   0.658632E+02   0.221103E+07   0.163635E+04
   252   0.542423E+04   0.255357E+01   0.674817E+02   0.220129E+07   0.162248E+04
