#    L    TT             EE             BB             TE             PP             TP             EP          
   212   0.570675E+04   0.722793E+00   0.000000E+00   0.137622E+01   0.574509E-07   0.133858E-03   0.266412E-06
   213   0.571180E+04   0.734873E+00   0.000000E+00   0.288059E+01   0.571687E-07   0.132747E-03   0.277153E-06
   214   0.571617E+04   0.748225E+00   0.000000E+00   0.440046E+01   0.568887E-07   0.131645E-03   0.287369E-06
   215   0.571993E+04   0.763042E+00   0.000000E+00   0.593507E+01   0.566108E-07   0.130551E-03   0.297082E-06
   216   0.572301E+04   0.779139E+00   0.000000E+00   0.748494E+01   0.563351E-07   0.129465E-03   0.306313E-06
   217   0.572555E+04   0.796672E+00   0.000000E+00   0.904803E+01   0.560616E-07   0.128387E-03   0.315083E-06
   218   0.572741E+04   0.815642E+00   0.000000E+00   0.106246E+02   0.557901E-07   0.127317E-03   0.323413E-06
   219   0.572865E+04   0.836049E+00   0.000000E+00   0.122154E+02   0.555207E-07   0.126256E-03   0.331326E-06
   220   0.572929E+04   0.858043E+00   0.000000E+00   0.138162E+02   0.552533E-07   0.125202E-03   0.338842E-06
   221   0.572932E+04   0.881550E+00   0.000000E+00   0.154291E+02   0.549881E-07   0.124157E-03   0.345983E-06
   222   0.572873E+04   0.906718E+00   0.000000E+00   0.170526E+02   0.547248E-07   0.123119E-03   0.352769E-06
   223   0.572739E+04   0.933475E+00   0.000000E+00   0.186875E+02   0.544635E-07   0.122090E-03   0.359223E-06
   224   0.572559E+04   0.961821E+00   0.000000E+00   0.203299E+02   0.542042E-07   0.121068E-03   0.365365E-06
   225   0.572310E+04   0.991904E+00   0.000000E+00   0.219829E+02   0.539469E-07   0.120054E-03   0.371217E-06
   226   0.571999E+04   0.102373E+01   0.000000E+00   0.236426E+02   0.536915E-07   0.119048E-03   0.376800E-06
   227   0.571621E+04   0.105729E+01   0.000000E+00   0.253107E+02   0.534381E-07   0.118050E-03   0.382135E-06
   228   0.571188E+04   0.109259E+01   0.000000E+00   0.269855E+02   0.531865E-07   0.117059E-03   0.387244E-06
   229   0.570695E+04   0.112970E+01   0.000000E+00   0.286656E+02   0.529369E-07   0.116076E-03   0.392148E-06
   230   0.570133E+04   0.116863E+01   0.000000E+00   0.303517E+02   0.526891E-07   0.115101E-03   0.396868E-06
