#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   143   0.414651E+04  -0.452858E+02   0.244000E-03  -0.452858E+02   0.111421E+01  -0.447316E-06   0.244000E-03  -0.447316E-06   0.835833E-07
   144   0.418014E+04  -0.454748E+02   0.241781E-03  -0.454748E+02   0.111233E+01  -0.385011E-06   0.241781E-03  -0.385011E-06   0.830896E-07
   145   0.421363E+04  -0.456418E+02   0.239591E-03  -0.456418E+02   0.111007E+01  -0.324230E-06   0.239591E-03  -0.324230E-06   0.825999E-07
   146   0.424719E+04  -0.457866E+02   0.237428E-03  -0.457866E+02   0.110719E+01  -0.265842E-06   0.237428E-03  -0.265842E-06   0.821142E-07
   147   0.428038E+04  -0.459080E+02   0.235289E-03  -0.459080E+02   0.110394E+01  -0.210717E-06   0.235289E-03  -0.210717E-06   0.816323E-07
   148   0.431343E+04  -0.460074E+02   0.233171E-03  -0.460074E+02   0.110014E+01  -0.159725E-06   0.233171E-03  -0.159725E-06   0.811542E-07
   149   0.434641E+04  -0.460833E+02   0.231072E-03  -0.460833E+02   0.109589E+01  -0.113736E-06   0.231072E-03  -0.113736E-06   0.806800E-07
   150   0.437910E+04  -0.461337E+02   0.228990E-03  -0.461337E+02   0.109125E+01  -0.736204E-07   0.228990E-03  -0.736204E-07   0.802096E-07
   151   0.441165E+04  -0.461613E+02   0.226922E-03  -0.461613E+02   0.108615E+01  -0.400373E-07   0.226922E-03  -0.400373E-07   0.797430E-07
   152   0.444391E+04  -0.461648E+02   0.224869E-03  -0.461648E+02   0.108052E+01  -0.128050E-07   0.224869E-03  -0.128050E-07   0.792801E-07
   153   0.447602E+04  -0.461419E+02   0.222831E-03  -0.461419E+02   0.107450E+01   0.846866E-08   0.222831E-03   0.846866E-08   0.788210E-07
   154   0.450793E+04  -0.460949E+02   0.220808E-03  -0.460949E+02   0.106810E+01   0.241760E-07   0.220808E-03   0.241760E-07   0.783656E-07
   155   0.453961E+04  -0.460229E+02   0.218800E-03  -0.460229E+02   0.106132E+01   0.347093E-07   0.218800E-03   0.347093E-07   0.779138E-07
   156   0.457092E+04  -0.459261E+02   0.216808E-03  -0.459261E+02   0.105416E+01   0.404606E-07   0.216808E-03   0.404606E-07   0.774657E-07
   157   0.460217E+04  -0.458027E+02   0.214833E-03  -0.458027E+02   0.104661E+01   0.418223E-07   0.214833E-03   0.418223E-07   0.770212E-07
   158   0.463311E+04  -0.456537E+02   0.212874E-03  -0.456537E+02   0.103876E+01   0.391866E-07   0.212874E-03   0.391866E-07   0.765804E-07
   159   0.466377E+04  -0.454790E+02   0.210932E-03  -0.454790E+02   0.103045E+01   0.329456E-07   0.210932E-03   0.329456E-07   0.761431E-07
   160   0.469419E+04  -0.452771E+02   0.209007E-03  -0.452771E+02   0.102184E+01   0.234917E-07   0.209007E-03   0.234917E-07   0.757094E-07
   161   0.472440E+04  -0.450495E+02   0.207100E-03  -0.450495E+02   0.101300E+01   0.112170E-07   0.207100E-03   0.112170E-07   0.752792E-07
   162   0.475430E+04  -0.447961E+02   0.205211E-03  -0.447961E+02   0.100378E+01  -0.348619E-08   0.205211E-03  -0.348619E-08   0.748526E-07
   163   0.478405E+04  -0.445155E+02   0.203340E-03  -0.445155E+02   0.994253E+00  -0.202257E-07   0.203340E-03  -0.202257E-07   0.744294E-07
   164   0.481335E+04  -0.442091E+02   0.201487E-03  -0.442091E+02   0.984502E+00  -0.386092E-07   0.201487E-03  -0.386092E-07   0.740097E-07
   165   0.484250E+04  -0.438747E+02   0.199654E-03  -0.438747E+02   0.974450E+00  -0.582447E-07   0.199654E-03  -0.582447E-07   0.735934E-07
   166   0.487134E+04  -0.435138E+02   0.197840E-03  -0.435138E+02   0.964246E+00  -0.787397E-07   0.197840E-03  -0.787397E-07   0.731806E-07
   167   0.489995E+04  -0.431271E+02   0.196046E-03  -0.431271E+02   0.953667E+00  -0.997021E-07   0.196046E-03  -0.997021E-07   0.727712E-07
   168   0.492810E+04  -0.427124E+02   0.194272E-03  -0.427124E+02   0.943086E+00  -0.120740E-06   0.194272E-03  -0.120740E-06   0.723651E-07
   169   0.495595E+04  -0.422696E+02   0.192518E-03  -0.422696E+02   0.932207E+00  -0.141460E-06   0.192518E-03  -0.141460E-06   0.719624E-07
   170   0.498350E+04  -0.418003E+02   0.190785E-03  -0.418003E+02   0.921253E+00  -0.161471E-06   0.190785E-03  -0.161471E-06   0.715631E-07
   171   0.501058E+04  -0.413021E+02   0.189073E-03  -0.413021E+02   0.910224E+00  -0.180381E-06   0.189073E-03  -0.180381E-06   0.711670E-07
   172   0.503728E+04  -0.407766E+02   0.187382E-03  -0.407766E+02   0.899048E+00  -0.197797E-06   0.187382E-03  -0.197797E-06   0.707742E-07
   173   0.506352E+04  -0.402238E+02   0.185713E-03  -0.402238E+02   0.887724E+00  -0.213327E-06   0.185713E-03  -0.213327E-06   0.703847E-07
