#    L    TT             EE             BB             TE          
   316   0.352081E+04   0.121343E+02   0.342222E-01   0.118619E+03
   317   0.348754E+04   0.123214E+02   0.343646E-01   0.118328E+03
   318   0.345434E+04   0.125101E+02   0.345063E-01   0.118000E+03
   319   0.342129E+04   0.126979E+02   0.346472E-01   0.117635E+03
   320   0.338840E+04   0.128857E+02   0.347874E-01   0.117240E+03
   321   0.335559E+04   0.130743E+02   0.349268E-01   0.116800E+03
   322   0.332293E+04   0.132613E+02   0.350656E-01   0.116322E+03
   323   0.329043E+04   0.134482E+02   0.352036E-01   0.115807E+03
   324   0.325808E+04   0.136359E+02   0.353409E-01   0.115247E+03
   325   0.322595E+04   0.138205E+02   0.354775E-01   0.114664E+03
   326   0.319391E+04   0.140066E+02   0.356134E-01   0.114029E+03
   327   0.316209E+04   0.141919E+02   0.357486E-01   0.113365E+03
   328   0.313051E+04   0.143757E+02   0.358832E-01   0.112670E+03
   329   0.309907E+04   0.145594E+02   0.360171E-01   0.111930E+03
   330   0.306787E+04   0.147416E+02   0.361503E-01   0.111153E+03
   331   0.303696E+04   0.149230E+02   0.362829E-01   0.110346E+03
   332   0.300622E+04   0.151043E+02   0.364149E-01   0.109509E+03
   333   0.297570E+04   0.152841E+02   0.365463E-01   0.108635E+03
   334   0.294548E+04   0.154632E+02   0.366771E-01   0.107724E+03
   335   0.291542E+04   0.156399E+02   0.368073E-01   0.106775E+03
   336   0.288566E+04   0.158159E+02   0.369370E-01   0.105796E+03
   337   0.285620E+04   0.159910E+02   0.370662E-01   0.104772E+03
   338   0.282698E+04   0.161639E+02   0.371948E-01   0.103726E+03
   339   0.279813E+04   0.163367E+02   0.373229E-01   0.102643E+03
   340   0.276951E+04   0.165072E+02   0.374505E-01   0.101537E+03
   341   0.274112E+04   0.166754E+02   0.375777E-01   0.100387E+03
   342   0.271310E+04   0.168436E+02   0.377045E-01   0.992065E+02
   343   0.268539E+04   0.170088E+02   0.378308E-01   0.979962E+02
   344   0.265806E+04   0.171724E+02   0.379567E-01   0.967561E+02
   345   0.263096E+04   0.173337E+02   0.380822E-01   0.954862E+02
   346   0.260423E+04   0.174943E+02   0.382074E-01   0.941938E+02
   347   0.257781E+04   0.176518E+02   0.383323E-01   0.928642E+02
   348   0.255177E+04   0.178070E+02   0.384569E-01   0.915047E+02
   349   0.252603E+04   0.179606E+02   0.385811E-01   0.901154E+02
   350   0.250067E+04   0.181113E+02   0.387051E-01   0.887037E+02
   351   0.247584E+04   0.182603E+02   0.388289E-01   0.872622E+02
   352   0.245116E+04   0.184071E+02   0.389525E-01   0.857908E+02
   353   0.242693E+04   0.185509E+02   0.390758E-01   0.843045E+02
   354   0.240301E+04   0.186924E+02   0.391990E-01   0.827810E+02
   355   0.237954E+04   0.188316E+02   0.393221E-01   0.812352E+02
   356   0.235645E+04   0.189685E+02   0.394450E-01   0.796746E+02
   357   0.233373E+04   0.191023E+02   0.395679E-01   0.780842E+02
   358   0.231147E+04   0.192324E+02   0.396907E-01   0.764790E+02
   359   0.228951E+04   0.193603E+02   0.398134E-01   0.748441E+02
   360   0.226800E+04   0.194858E+02   0.399361E-01   0.731907E+02
   361   0.224686E+04   0.196083E+02   0.400588E-01   0.715144E+02
