#    L    TT             EE             TE             PP             TP          
   252   0.564394E+04   0.266283E+01   0.700168E+02   0.222119E+07   0.162923E+04
   253   0.562427E+04   0.275430E+01   0.716875E+02   0.221148E+07   0.161556E+04
   254   0.560398E+04   0.284830E+01   0.733456E+02   0.220185E+07   0.160199E+04
   255   0.558313E+04   0.294453E+01   0.749911E+02   0.219227E+07   0.158852E+04
   256   0.556180E+04   0.304337E+01   0.766238E+02   0.218276E+07   0.157516E+04
   257   0.553999E+04   0.314437E+01   0.782355E+02   0.217331E+07   0.156189E+04
   258   0.551762E+04   0.324789E+01   0.798389E+02   0.216393E+07   0.154872E+04
   259   0.549478E+04   0.335379E+01   0.814191E+02   0.215461E+07   0.153565E+04
   260   0.547154E+04   0.346207E+01   0.829909E+02   0.214535E+07   0.152268E+04
   261   0.544775E+04   0.357265E+01   0.845318E+02   0.213615E+07   0.150980E+04
   262   0.542340E+04   0.368574E+01   0.860643E+02   0.212701E+07   0.149702E+04
   263   0.539888E+04   0.380114E+01   0.875808E+02   0.211793E+07   0.148433E+04
   264   0.537373E+04   0.391890E+01   0.890739E+02   0.210891E+07   0.147173E+04
   265   0.534804E+04   0.403896E+01   0.905361E+02   0.209996E+07   0.145923E+04
   266   0.532202E+04   0.416154E+01   0.919896E+02   0.209106E+07   0.144682E+04
   267   0.529545E+04   0.428625E+01   0.934121E+02   0.208222E+07   0.143450E+04
   268   0.526848E+04   0.441348E+01   0.948185E+02   0.207343E+07   0.142228E+04
   269   0.524097E+04   0.454293E+01   0.962012E+02   0.206471E+07   0.141013E+04
   270   0.521321E+04   0.467466E+01   0.975603E+02   0.205604E+07   0.139808E+04
   271   0.518498E+04   0.480861E+01   0.988956E+02   0.204743E+07   0.138612E+04
   272   0.515651E+04   0.494506E+01   0.100200E+03   0.203887E+07   0.137424E+04
   273   0.512756E+04   0.508342E+01   0.101488E+03   0.203037E+07   0.136245E+04
   274   0.509829E+04   0.522429E+01   0.102737E+03   0.202192E+07   0.135074E+04
   275   0.506863E+04   0.536714E+01   0.103969E+03   0.201353E+07   0.133911E+04
   276   0.503873E+04   0.551219E+01   0.105163E+03   0.200519E+07   0.132757E+04
   277   0.500836E+04   0.565945E+01   0.106341E+03   0.199691E+07   0.131611E+04
   278   0.497774E+04   0.580883E+01   0.107479E+03   0.198867E+07   0.130473E+04
   279   0.494681E+04   0.596027E+01   0.108586E+03   0.198050E+07   0.129343E+04
   280   0.491556E+04   0.611376E+01   0.109677E+03   0.197237E+07   0.128221E+04
   281   0.488415E+04   0.626937E+01   0.110728E+03   0.196429E+07   0.127107E+04
   282   0.485227E+04   0.642680E+01   0.111748E+03   0.195627E+07   0.126000E+04
   283   0.482022E+04   0.658628E+01   0.112737E+03   0.194829E+07   0.124901E+04
   284   0.478794E+04   0.674773E+01   0.113693E+03   0.194037E+07   0.123810E+04
   285   0.475542E+04   0.691115E+01   0.114619E+03   0.193249E+07   0.122726E+04
   286   0.472258E+04   0.707639E+01   0.115504E+03   0.192466E+07   0.121650E+04
   287   0.468951E+04   0.724345E+01   0.116366E+03   0.191688E+07   0.120581E+04
   288   0.465627E+04   0.741232E+01   0.117188E+03   0.190915E+07   0.119519E+04
   289   0.462280E+04   0.758293E+01   0.117979E+03   0.190147E+07   0.118464E+04
   290   0.458917E+04   0.775513E+01   0.118737E+03   0.189383E+07   0.117416E+04
   291   0.455538E+04   0.792967E+01   0.119449E+03   0.188624E+07   0.116375E+04
   292   0.452112E+04   0.810542E+01   0.120136E+03   0.187870E+07   0.115341E+04
   293   0.448701E+04   0.828201E+01   0.120777E+03   0.187120E+07   0.114313E+04
   294   0.445259E+04   0.846094E+01   0.121393E+03   0.186375E+07   0.113293E+04
   295   0.441823E+04   0.864070E+01   0.121962E+03   0.185634E+07   0.112279E+04
   296   0.438357E+04   0.882279E+01   0.122498E+03   0.184897E+07   0.111271E+04
   297   0.434883E+04   0.900497E+01   0.123003E+03   0.184165E+07   0.110270E+04
   298   0.431385E+04   0.918947E+01   0.123461E+03   0.183437E+07   0.109275E+04
   299   0.427887E+04   0.937555E+01   0.123879E+03   0.182713E+07   0.108286E+04
   300   0.424373E+04   0.956173E+01   0.124257E+03   0.181993E+07   0.107303E+04
   301   0.420851E+04   0.974947E+01   0.124603E+03   0.181278E+07   0.106327E+04
   302   0.417329E+04   0.993805E+01   0.124917E+03   0.180567E+07   0.105356E+04
   303   0.413798E+04   0.101282E+02   0.125183E+03   0.179859E+07   0.104392E+04
   304   0.410260E+04   0.103199E+02   0.125402E+03   0.179156E+07   0.103433E+04
   305   0.406722E+04   0.105116E+02   0.125590E+03   0.178457E+07   0.102481E+04
   306   0.403176E+04   0.107042E+02   0.125737E+03   0.177762E+07   0.101535E+04
   307   0.399629E+04   0.108976E+02   0.125837E+03   0.177071E+07   0.100595E+04
   308   0.396083E+04   0.110932E+02   0.125913E+03   0.176383E+07   0.996610E+03
   309   0.392544E+04   0.112882E+02   0.125934E+03   0.175700E+07   0.987334E+03
   310   0.388997E+04   0.114832E+02   0.125923E+03   0.175020E+07   0.978120E+03
   311   0.385458E+04   0.116805E+02   0.125865E+03   0.174345E+07   0.968968E+03
   312   0.381927E+04   0.118770E+02   0.125774E+03   0.173673E+07   0.959878E+03
