#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   153   0.464693E+04  -0.478777E+02   0.220205E-03  -0.478777E+02   0.111751E+01  -0.448706E-06   0.220205E-03  -0.448706E-06   0.791965E-07
   154   0.468038E+04  -0.478321E+02   0.218234E-03  -0.478321E+02   0.111088E+01  -0.441836E-06   0.218234E-03  -0.441836E-06   0.787412E-07
   155   0.471359E+04  -0.477606E+02   0.216282E-03  -0.477606E+02   0.110386E+01  -0.436317E-06   0.216282E-03  -0.436317E-06   0.782894E-07
   156   0.474643E+04  -0.476632E+02   0.214349E-03  -0.476632E+02   0.109645E+01  -0.432033E-06   0.214349E-03  -0.432033E-06   0.778414E-07
   157   0.477918E+04  -0.475384E+02   0.212434E-03  -0.475384E+02   0.108863E+01  -0.428871E-06   0.212434E-03  -0.428871E-06   0.773969E-07
   158   0.481163E+04  -0.473869E+02   0.210538E-03  -0.473869E+02   0.108050E+01  -0.426717E-06   0.210538E-03  -0.426717E-06   0.769560E-07
   159   0.484377E+04  -0.472088E+02   0.208662E-03  -0.472088E+02   0.107190E+01  -0.425455E-06   0.208662E-03  -0.425455E-06   0.765187E-07
   160   0.487567E+04  -0.470024E+02   0.206804E-03  -0.470024E+02   0.106299E+01  -0.424972E-06   0.206804E-03  -0.424972E-06   0.760849E-07
   161   0.490733E+04  -0.467692E+02   0.204965E-03  -0.467692E+02   0.105383E+01  -0.425154E-06   0.204965E-03  -0.425154E-06   0.756547E-07
   162   0.493868E+04  -0.465093E+02   0.203145E-03  -0.465093E+02   0.104429E+01  -0.425886E-06   0.203145E-03  -0.425886E-06   0.752279E-07
   163   0.496986E+04  -0.462211E+02   0.201344E-03  -0.462211E+02   0.103443E+01  -0.427053E-06   0.201344E-03  -0.427053E-06   0.748046E-07
   164   0.500057E+04  -0.459061E+02   0.199563E-03  -0.459061E+02   0.102433E+01  -0.428543E-06   0.199563E-03  -0.428543E-06   0.743848E-07
   165   0.503110E+04  -0.455620E+02   0.197800E-03  -0.455620E+02   0.101393E+01  -0.430240E-06   0.197800E-03  -0.430240E-06   0.739683E-07
   166   0.506132E+04  -0.451902E+02   0.196057E-03  -0.451902E+02   0.100337E+01  -0.432030E-06   0.196057E-03  -0.432030E-06   0.735553E-07
   167   0.509129E+04  -0.447916E+02   0.194333E-03  -0.447916E+02   0.992426E+00  -0.433798E-06   0.194333E-03  -0.433798E-06   0.731457E-07
   168   0.512078E+04  -0.443638E+02   0.192628E-03  -0.443638E+02   0.981474E+00  -0.435432E-06   0.192628E-03  -0.435432E-06   0.727394E-07
   169   0.514994E+04  -0.439069E+02   0.190943E-03  -0.439069E+02   0.970220E+00  -0.436815E-06   0.190943E-03  -0.436815E-06   0.723365E-07
   170   0.517878E+04  -0.434222E+02   0.189276E-03  -0.434222E+02   0.958886E+00  -0.437835E-06   0.189276E-03  -0.437835E-06   0.719368E-07
   171   0.520713E+04  -0.429076E+02   0.187630E-03  -0.429076E+02   0.947474E+00  -0.438376E-06   0.187630E-03  -0.438376E-06   0.715405E-07
   172   0.523508E+04  -0.423645E+02   0.186003E-03  -0.423645E+02   0.935911E+00  -0.438325E-06   0.186003E-03  -0.438325E-06   0.711474E-07
   173   0.526254E+04  -0.417929E+02   0.184395E-03  -0.417929E+02   0.924199E+00  -0.437567E-06   0.184395E-03  -0.437567E-06   0.707575E-07
   174   0.528966E+04  -0.411927E+02   0.182807E-03  -0.411927E+02   0.912636E+00  -0.435988E-06   0.182807E-03  -0.435988E-06   0.703709E-07
   175   0.531638E+04  -0.405632E+02   0.181239E-03  -0.405632E+02   0.900928E+00  -0.433473E-06   0.181239E-03  -0.433473E-06   0.699874E-07
   176   0.534252E+04  -0.399043E+02   0.179690E-03  -0.399043E+02   0.889297E+00  -0.429936E-06   0.179690E-03  -0.429936E-06   0.696072E-07
