#    L    TT             EE             BB             TE          
   298   0.431831E+04   0.920351E+01   0.325284E-01   0.122929E+03
   299   0.428344E+04   0.938836E+01   0.326891E-01   0.123344E+03
   300   0.424842E+04   0.957328E+01   0.328489E-01   0.123719E+03
   301   0.421332E+04   0.975975E+01   0.330080E-01   0.124062E+03
   302   0.417821E+04   0.994701E+01   0.331662E-01   0.124373E+03
   303   0.414302E+04   0.101358E+02   0.333237E-01   0.124638E+03
   304   0.410776E+04   0.103261E+02   0.334803E-01   0.124855E+03
   305   0.407250E+04   0.105165E+02   0.336362E-01   0.125041E+03
   306   0.403716E+04   0.107077E+02   0.337912E-01   0.125187E+03
   307   0.400182E+04   0.108996E+02   0.339454E-01   0.125287E+03
   308   0.396648E+04   0.110938E+02   0.340988E-01   0.125362E+03
   309   0.393121E+04   0.112872E+02   0.342514E-01   0.125383E+03
   310   0.389587E+04   0.114807E+02   0.344032E-01   0.125372E+03
   311   0.386061E+04   0.116764E+02   0.345542E-01   0.125315E+03
   312   0.382542E+04   0.118714E+02   0.347044E-01   0.125226E+03
   313   0.379023E+04   0.120671E+02   0.348538E-01   0.125090E+03
   314   0.375512E+04   0.122636E+02   0.350023E-01   0.124922E+03
   315   0.372009E+04   0.124593E+02   0.351501E-01   0.124708E+03
   316   0.368514E+04   0.126557E+02   0.352970E-01   0.124454E+03
   317   0.365027E+04   0.128514E+02   0.354432E-01   0.124162E+03
   318   0.361547E+04   0.130486E+02   0.355886E-01   0.123830E+03
   319   0.358083E+04   0.132450E+02   0.357332E-01   0.123459E+03
   320   0.354635E+04   0.134413E+02   0.358770E-01   0.123056E+03
   321   0.351195E+04   0.136384E+02   0.360200E-01   0.122607E+03
   322   0.347770E+04   0.138339E+02   0.361623E-01   0.122119E+03
   323   0.344361E+04   0.140294E+02   0.363038E-01   0.121592E+03
   324   0.340968E+04   0.142256E+02   0.364445E-01   0.121018E+03
   325   0.337597E+04   0.144188E+02   0.365846E-01   0.120421E+03
   326   0.334236E+04   0.146134E+02   0.367239E-01   0.119769E+03
   327   0.330897E+04   0.148072E+02   0.368624E-01   0.119086E+03
   328   0.327582E+04   0.149994E+02   0.370003E-01   0.118371E+03
