#    L    TT             EE             BB             TE             PP             TP             EP          
   191   0.544167E+04   0.706809E+00   0.000000E+00  -0.255357E+02   0.642699E-07   0.159238E-03  -0.938778E-07
   192   0.545902E+04   0.699968E+00   0.000000E+00  -0.244778E+02   0.639361E-07   0.157924E-03  -0.737465E-07
   193   0.547577E+04   0.693675E+00   0.000000E+00  -0.233964E+02   0.636049E-07   0.156622E-03  -0.531779E-07
   194   0.549213E+04   0.687960E+00   0.000000E+00  -0.222892E+02   0.632764E-07   0.155334E-03  -0.323257E-07
   195   0.550788E+04   0.682860E+00   0.000000E+00  -0.211585E+02   0.629506E-07   0.154058E-03  -0.113431E-07
   196   0.552303E+04   0.678413E+00   0.000000E+00  -0.200034E+02   0.626272E-07   0.152793E-03   0.961636E-08
   197   0.553771E+04   0.674665E+00   0.000000E+00  -0.188256E+02   0.623065E-07   0.151539E-03   0.303993E-07
   198   0.555187E+04   0.671637E+00   0.000000E+00  -0.176242E+02   0.619883E-07   0.150295E-03   0.508525E-07
   199   0.556549E+04   0.669368E+00   0.000000E+00  -0.164000E+02   0.616725E-07   0.149062E-03   0.708225E-07
   200   0.557858E+04   0.667888E+00   0.000000E+00  -0.151538E+02   0.613592E-07   0.147838E-03   0.901560E-07
   201   0.559106E+04   0.667256E+00   0.000000E+00  -0.138848E+02   0.610484E-07   0.146622E-03   0.108729E-06
   202   0.560302E+04   0.667481E+00   0.000000E+00  -0.125945E+02   0.607400E-07   0.145416E-03   0.126533E-06
   203   0.561437E+04   0.668622E+00   0.000000E+00  -0.112822E+02   0.604340E-07   0.144218E-03   0.143590E-06
   204   0.562504E+04   0.670704E+00   0.000000E+00  -0.995090E+01   0.601303E-07   0.143029E-03   0.159919E-06
   205   0.563518E+04   0.673770E+00   0.000000E+00  -0.859834E+01   0.598291E-07   0.141848E-03   0.175544E-06
   206   0.564464E+04   0.677860E+00   0.000000E+00  -0.722583E+01   0.595301E-07   0.140676E-03   0.190483E-06
   207   0.565357E+04   0.682995E+00   0.000000E+00  -0.583381E+01   0.592335E-07   0.139513E-03   0.204759E-06
   208   0.566175E+04   0.689229E+00   0.000000E+00  -0.442282E+01   0.589391E-07   0.138358E-03   0.218393E-06
   209   0.566932E+04   0.696584E+00   0.000000E+00  -0.299325E+01   0.586471E-07   0.137212E-03   0.231404E-06
   210   0.567628E+04   0.705114E+00   0.000000E+00  -0.154601E+01   0.583573E-07   0.136074E-03   0.243816E-06
   211   0.568264E+04   0.714848E+00   0.000000E+00  -0.811640E-01   0.580697E-07   0.134944E-03   0.255647E-06
   212   0.568825E+04   0.725818E+00   0.000000E+00   0.140033E+01   0.577844E-07   0.133823E-03   0.266920E-06
   213   0.569333E+04   0.738068E+00   0.000000E+00   0.289851E+01   0.575012E-07   0.132710E-03   0.277656E-06
   214   0.569772E+04   0.751591E+00   0.000000E+00   0.441216E+01   0.572203E-07   0.131606E-03   0.287875E-06
   215   0.570151E+04   0.766582E+00   0.000000E+00   0.594051E+01   0.569415E-07   0.130509E-03   0.297598E-06
   216   0.570462E+04   0.782856E+00   0.000000E+00   0.748408E+01   0.566648E-07   0.129421E-03   0.306846E-06
   217   0.570720E+04   0.800569E+00   0.000000E+00   0.904084E+01   0.563903E-07   0.128341E-03   0.315641E-06
   218   0.570910E+04   0.819721E+00   0.000000E+00   0.106110E+02   0.561178E-07   0.127270E-03   0.324003E-06
   219   0.571040E+04   0.840314E+00   0.000000E+00   0.121955E+02   0.558474E-07   0.126206E-03   0.331954E-06
   220   0.571109E+04   0.862497E+00   0.000000E+00   0.137899E+02   0.555791E-07   0.125150E-03   0.339513E-06
   221   0.571117E+04   0.886196E+00   0.000000E+00   0.153964E+02   0.553129E-07   0.124103E-03   0.346703E-06
   222   0.571065E+04   0.911561E+00   0.000000E+00   0.170135E+02   0.550486E-07   0.123063E-03   0.353544E-06
   223   0.570937E+04   0.938518E+00   0.000000E+00   0.186419E+02   0.547864E-07   0.122032E-03   0.360056E-06
   224   0.570764E+04   0.967067E+00   0.000000E+00   0.202779E+02   0.545261E-07   0.121008E-03   0.366262E-06
   225   0.570523E+04   0.997359E+00   0.000000E+00   0.219245E+02   0.542679E-07   0.119992E-03   0.372182E-06
   226   0.570221E+04   0.102939E+01   0.000000E+00   0.235778E+02   0.540115E-07   0.118984E-03   0.377837E-06
   227   0.569851E+04   0.106317E+01   0.000000E+00   0.252395E+02   0.537571E-07   0.117984E-03   0.383247E-06
   228   0.569428E+04   0.109869E+01   0.000000E+00   0.269080E+02   0.535045E-07   0.116991E-03   0.388435E-06
   229   0.568944E+04   0.113603E+01   0.000000E+00   0.285818E+02   0.532539E-07   0.116007E-03   0.393420E-06
   230   0.568393E+04   0.117519E+01   0.000000E+00   0.302616E+02   0.530051E-07   0.115029E-03   0.398223E-06
