#    L    TT             EE             BB             TE          
   325   0.322584E+04   0.138229E+02   0.354735E-01   0.114672E+03
   326   0.319379E+04   0.140090E+02   0.356093E-01   0.114037E+03
   327   0.316197E+04   0.141943E+02   0.357445E-01   0.113372E+03
   328   0.313038E+04   0.143780E+02   0.358791E-01   0.112677E+03
   329   0.309895E+04   0.145617E+02   0.360129E-01   0.111937E+03
   330   0.306774E+04   0.147439E+02   0.361461E-01   0.111160E+03
   331   0.303684E+04   0.149253E+02   0.362787E-01   0.110352E+03
   332   0.300609E+04   0.151067E+02   0.364107E-01   0.109515E+03
   333   0.297557E+04   0.152865E+02   0.365420E-01   0.108641E+03
   334   0.294535E+04   0.154655E+02   0.366728E-01   0.107729E+03
   335   0.291529E+04   0.156422E+02   0.368030E-01   0.106780E+03
   336   0.288553E+04   0.158182E+02   0.369327E-01   0.105800E+03
   337   0.285607E+04   0.159933E+02   0.370618E-01   0.104776E+03
   338   0.282684E+04   0.161661E+02   0.371904E-01   0.103730E+03
   339   0.279799E+04   0.163389E+02   0.373185E-01   0.102646E+03
   340   0.276937E+04   0.165095E+02   0.374461E-01   0.101540E+03
   341   0.274098E+04   0.166777E+02   0.375732E-01   0.100389E+03
   342   0.271297E+04   0.168459E+02   0.376999E-01   0.992087E+02
   343   0.268526E+04   0.170110E+02   0.378262E-01   0.979981E+02
   344   0.265792E+04   0.171746E+02   0.379521E-01   0.967577E+02
   345   0.263082E+04   0.173359E+02   0.380776E-01   0.954874E+02
   346   0.260410E+04   0.174964E+02   0.382028E-01   0.941947E+02
   347   0.257768E+04   0.176539E+02   0.383276E-01   0.928647E+02
   348   0.255163E+04   0.178091E+02   0.384521E-01   0.915049E+02
   349   0.252590E+04   0.179627E+02   0.385764E-01   0.901152E+02
   350   0.250053E+04   0.181133E+02   0.387004E-01   0.887032E+02
   351   0.247570E+04   0.182624E+02   0.388241E-01   0.872613E+02
   352   0.245102E+04   0.184091E+02   0.389476E-01   0.857896E+02
   353   0.242680E+04   0.185529E+02   0.390710E-01   0.843030E+02
   354   0.240288E+04   0.186943E+02   0.391942E-01   0.827792E+02
   355   0.237941E+04   0.188335E+02   0.393172E-01   0.812330E+02
   356   0.235631E+04   0.189703E+02   0.394401E-01   0.796720E+02
   357   0.233360E+04   0.191042E+02   0.395629E-01   0.780813E+02
   358   0.231134E+04   0.192343E+02   0.396857E-01   0.764758E+02
   359   0.228938E+04   0.193621E+02   0.398084E-01   0.748406E+02
   360   0.226787E+04   0.194876E+02   0.399311E-01   0.731869E+02
   361   0.224674E+04   0.196101E+02   0.400538E-01   0.715103E+02
   362   0.222605E+04   0.197295E+02   0.401765E-01   0.698137E+02
   363   0.220575E+04   0.198467E+02   0.402993E-01   0.680995E+02
   364   0.218590E+04   0.199594E+02   0.404221E-01   0.663638E+02
   365   0.216642E+04   0.200698E+02   0.405451E-01   0.646127E+02
   366   0.214740E+04   0.201772E+02   0.406681E-01   0.628432E+02
   367   0.212882E+04   0.202801E+02   0.407913E-01   0.610576E+02
   368   0.211055E+04   0.203807E+02   0.409147E-01   0.592573E+02
   369   0.209288E+04   0.204783E+02   0.410382E-01   0.574401E+02
   370   0.207558E+04   0.205721E+02   0.411620E-01   0.556114E+02
   371   0.205866E+04   0.206622E+02   0.412860E-01   0.537672E+02
   372   0.204219E+04   0.207493E+02   0.414102E-01   0.519122E+02
   373   0.202617E+04   0.208326E+02   0.415348E-01   0.500434E+02
   374   0.201060E+04   0.209129E+02   0.416596E-01   0.481645E+02
   375   0.199541E+04   0.209895E+02   0.417847E-01   0.462756E+02
   376   0.198074E+04   0.210630E+02   0.419102E-01   0.443765E+02
   377   0.196652E+04   0.211321E+02   0.420360E-01   0.424704E+02
   378   0.195267E+04   0.211974E+02   0.421622E-01   0.405542E+02
   379   0.193928E+04   0.212598E+02   0.422887E-01   0.386325E+02
   380   0.192641E+04   0.213191E+02   0.424157E-01   0.367029E+02
   381   0.191391E+04   0.213717E+02   0.425432E-01   0.347686E+02
   382   0.190179E+04   0.214228E+02   0.426710E-01   0.328302E+02
   383   0.189020E+04   0.214694E+02   0.427994E-01   0.308863E+02
   384   0.187913E+04   0.215115E+02   0.429282E-01   0.289406E+02
   385   0.186835E+04   0.215514E+02   0.430576E-01   0.269917E+02
   386   0.185811E+04   0.215868E+02   0.431875E-01   0.250417E+02
   387   0.184824E+04   0.216177E+02   0.433179E-01   0.230906E+02
   388   0.183881E+04   0.216449E+02   0.434489E-01   0.211401E+02
   389   0.182984E+04   0.216661E+02   0.435804E-01   0.191900E+02
   390   0.182132E+04   0.216865E+02   0.437126E-01   0.172426E+02
   391   0.181324E+04   0.217018E+02   0.438454E-01   0.152965E+02
   392   0.180554E+04   0.217148E+02   0.439788E-01   0.133546E+02
   393   0.179836E+04   0.217226E+02   0.441129E-01   0.114162E+02
