#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.332038E+00   0.530034E+06   0.527491E+06   0.239976E+00  -0.120269E+00   0.000000E+00   0.529640E+06   0.529640E+06   0.529640E+06  -0.125886E-01   0.277676E+06   0.277642E+06   0.334104E-01
   0.337401E+00   0.517121E+06   0.514609E+06   0.226743E+00  -0.113638E+00   0.000000E+00   0.516732E+06   0.516732E+06   0.516732E+06  -0.122818E-01   0.270908E+06   0.270876E+06   0.323886E-01
   0.342764E+00   0.504416E+06   0.501925E+06   0.214302E+00  -0.107403E+00   0.000000E+00   0.504030E+06   0.504030E+06   0.504030E+06  -0.119799E-01   0.264249E+06   0.264217E+06   0.314746E-01
   0.348127E+00   0.492131E+06   0.489662E+06   0.202687E+00  -0.101582E+00   0.000000E+00   0.491749E+06   0.491749E+06   0.491749E+06  -0.116880E-01   0.257810E+06   0.257778E+06   0.305742E-01
   0.353491E+00   0.480439E+06   0.478000E+06   0.191911E+00  -0.961821E-01   0.000000E+00   0.480062E+06   0.480062E+06   0.480062E+06  -0.114102E-01   0.251683E+06   0.251652E+06   0.296233E-01
   0.358854E+00   0.469447E+06   0.467052E+06   0.181956E+00  -0.911931E-01   0.000000E+00   0.469077E+06   0.469077E+06   0.469077E+06  -0.111491E-01   0.245924E+06   0.245893E+06   0.285965E-01
   0.364217E+00   0.459170E+06   0.456830E+06   0.172770E+00  -0.865893E-01   0.000000E+00   0.458808E+06   0.458808E+06   0.458808E+06  -0.109050E-01   0.240540E+06   0.240510E+06   0.275045E-01
   0.369580E+00   0.449527E+06   0.447253E+06   0.164270E+00  -0.823288E-01   0.000000E+00   0.449175E+06   0.449175E+06   0.449175E+06  -0.106761E-01   0.235490E+06   0.235461E+06   0.263838E-01
   0.374943E+00   0.440383E+06   0.438179E+06   0.156359E+00  -0.783638E-01   0.000000E+00   0.440042E+06   0.440042E+06   0.440042E+06  -0.104590E-01   0.230702E+06   0.230673E+06   0.252821E-01
   0.380306E+00   0.431591E+06   0.429455E+06   0.148948E+00  -0.746492E-01   0.000000E+00   0.431261E+06   0.431261E+06   0.431261E+06  -0.102503E-01   0.226098E+06   0.226071E+06   0.242449E-01
   0.385669E+00   0.423025E+06   0.420949E+06   0.141961E+00  -0.711472E-01   0.000000E+00   0.422704E+06   0.422704E+06   0.422704E+06  -0.100469E-01   0.221612E+06   0.221585E+06   0.233038E-01
   0.391032E+00   0.414586E+06   0.412560E+06   0.135339E+00  -0.678284E-01   0.000000E+00   0.414272E+06   0.414272E+06   0.414272E+06  -0.984651E-02   0.217191E+06   0.217165E+06   0.224711E-01
   0.396395E+00   0.406220E+06   0.404235E+06   0.129044E+00  -0.646736E-01   0.000000E+00   0.405913E+06   0.405913E+06   0.405913E+06  -0.964783E-02   0.212809E+06   0.212783E+06   0.217395E-01
   0.401758E+00   0.397942E+06   0.395989E+06   0.123061E+00  -0.616753E-01   0.000000E+00   0.397640E+06   0.397640E+06   0.397640E+06  -0.945119E-02   0.208472E+06   0.208446E+06   0.210878E-01
   0.407121E+00   0.389815E+06   0.387888E+06   0.117392E+00  -0.588342E-01   0.000000E+00   0.389517E+06   0.389517E+06   0.389517E+06  -0.925811E-02   0.204213E+06   0.204188E+06   0.204883E-01
   0.412484E+00   0.381911E+06   0.380010E+06   0.112040E+00  -0.561518E-01   0.000000E+00   0.381616E+06   0.381616E+06   0.381616E+06  -0.907034E-02   0.200071E+06   0.200046E+06   0.199135E-01
   0.417848E+00   0.374281E+06   0.372408E+06   0.107000E+00  -0.536263E-01   0.000000E+00   0.373992E+06   0.373992E+06   0.373992E+06  -0.888911E-02   0.196073E+06   0.196049E+06   0.193419E-01
   0.423211E+00   0.366958E+06   0.365115E+06   0.102265E+00  -0.512528E-01   0.000000E+00   0.366673E+06   0.366673E+06   0.366673E+06  -0.871516E-02   0.192237E+06   0.192213E+06   0.187619E-01
   0.428574E+00   0.359958E+06   0.358150E+06   0.978189E-01  -0.490248E-01   0.000000E+00   0.359679E+06   0.359679E+06   0.359679E+06  -0.854892E-02   0.188570E+06   0.188546E+06   0.181729E-01
   0.433937E+00   0.353275E+06   0.351505E+06   0.936447E-01  -0.469327E-01   0.000000E+00   0.353002E+06   0.353002E+06   0.353002E+06  -0.839021E-02   0.185069E+06   0.185046E+06   0.175823E-01
   0.439300E+00   0.346866E+06   0.345134E+06   0.897147E-01  -0.449631E-01   0.000000E+00   0.346598E+06   0.346598E+06   0.346598E+06  -0.823801E-02   0.181712E+06   0.181689E+06   0.170020E-01
   0.444663E+00   0.340668E+06   0.338975E+06   0.859993E-01  -0.431009E-01   0.000000E+00   0.340406E+06   0.340406E+06   0.340406E+06  -0.809083E-02   0.178465E+06   0.178443E+06   0.164443E-01
   0.450026E+00   0.334632E+06   0.332976E+06   0.824746E-01  -0.413344E-01   0.000000E+00   0.334376E+06   0.334376E+06   0.334376E+06  -0.794752E-02   0.175304E+06   0.175283E+06   0.159191E-01
   0.455389E+00   0.328732E+06   0.327110E+06   0.791235E-01  -0.396549E-01   0.000000E+00   0.328481E+06   0.328481E+06   0.328481E+06  -0.780740E-02   0.172214E+06   0.172192E+06   0.154319E-01
   0.460752E+00   0.322946E+06   0.321354E+06   0.759320E-01  -0.380553E-01   0.000000E+00   0.322700E+06   0.322700E+06   0.322700E+06  -0.767000E-02   0.169183E+06   0.169162E+06   0.149824E-01
   0.466115E+00   0.317259E+06   0.315693E+06   0.728881E-01  -0.365298E-01   0.000000E+00   0.317017E+06   0.317017E+06   0.317017E+06  -0.753493E-02   0.166203E+06   0.166183E+06   0.145657E-01
   0.471478E+00   0.311676E+06   0.310134E+06   0.699854E-01  -0.350751E-01   0.000000E+00   0.311437E+06   0.311437E+06   0.311437E+06  -0.740231E-02   0.163278E+06   0.163258E+06   0.141742E-01
